epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1077.19,0.6657,1.01482,1.97591,0.3771,0.77915,0.48018,0.40596,0.57642,4.4944,1.94558,0.0011684,0.0011684,0.0011684
44,1102.83,0.64836,0.97168,2.00024,0.38224,0.84661,0.48165,0.41179,0.55431,4.23192,1.93681,0.0011486,0.0011486,0.0011486
45,1129.58,0.59058,0.94814,2.00045,0.42612,0.44956,0.48221,0.41653,0.5145,5.12903,1.94406,0.0011288,0.0011288,0.0011288
46,1155.3,0.57843,0.9653,1.96152,0.39258,0.62525,0.47667,0.41233,0.5039,3.91609,1.92181,0.001109,0.001109,0.001109
47,1180.77,0.63569,1.09401,1.97455,0.41106,0.44578,0.47035,0.40207,0.54512,4.71554,1.92206,0.0010892,0.0010892,0.0010892
48,1207.89,0.60785,1.07221,1.95841,0.42242,0.53749,0.48699,0.41916,0.54782,3.80428,1.91944,0.0010694,0.0010694,0.0010694
49,1234.27,0.61465,0.9626,1.97243,0.38123,0.84955,0.48294,0.41676,0.49982,4.82426,1.91255,0.0010496,0.0010496,0.0010496
50,1261.81,0.57375,0.97703,1.93155,0.37982,0.85087,0.48384,0.41961,0.51155,4.52135,1.89873,0.0010298,0.0010298,0.0010298
51,1288.49,0.5784,0.95812,1.92338,0.38773,0.6141,0.48172,0.41478,0.50717,5.79894,1.90041,0.00101,0.00101,0.00101
52,1315.13,0.579,0.94891,1.95665,0.39281,0.58295,0.48045,0.41754,0.50028,3.52323,1.89295,0.0009902,0.0009902,0.0009902
53,1342.26,0.56958,1.1349,1.95681,0.40203,0.52507,0.47951,0.41397,0.51215,4.22064,1.88962,0.0009704,0.0009704,0.0009704
54,1368.18,0.56807,1.09386,1.92461,0.37896,0.69574,0.47114,0.40749,0.49836,4.57648,1.89628,0.0009506,0.0009506,0.0009506
55,1394.16,0.55836,0.99562,1.88038,0.40149,0.64089,0.48985,0.4249,0.49737,4.53569,1.89919,0.0009308,0.0009308,0.0009308
56,1421.01,0.54316,1.00522,1.94522,0.38359,0.72487,0.48766,0.42113,0.50136,5.40508,1.89603,0.000911,0.000911,0.000911
57,1447.1,0.56714,0.88494,1.94724,0.38259,0.73924,0.48474,0.42359,0.47371,3.99032,1.87672,0.0008912,0.0008912,0.0008912
58,1472.26,0.54037,0.91272,1.90158,0.37502,0.82588,0.47851,0.42183,0.46515,5.37417,1.89334,0.0008714,0.0008714,0.0008714
59,1497.76,0.56331,0.89698,1.9372,0.3659,0.82755,0.47465,0.41465,0.46339,5.06325,1.87603,0.0008516,0.0008516,0.0008516
60,1522.71,0.55906,0.92727,1.91998,0.3847,0.7112,0.47759,0.42087,0.46402,4.77782,1.87473,0.0008318,0.0008318,0.0008318
61,1547.87,0.5474,0.91251,1.89917,0.38912,0.72231,0.4842,0.42672,0.45322,4.76809,1.88036,0.000812,0.000812,0.000812
62,1573.81,0.54875,0.87618,1.92728,0.38402,0.7576,0.48952,0.43332,0.46551,5.8069,1.87972,0.0007922,0.0007922,0.0007922
63,1598.67,0.53572,0.88061,1.90838,0.37788,0.87502,0.46651,0.40924,0.44286,4.73785,1.87475,0.0007724,0.0007724,0.0007724
64,1624.29,0.53125,0.98551,1.89977,0.38899,0.61302,0.48136,0.42585,0.44542,3.82434,1.86247,0.0007526,0.0007526,0.0007526
65,1649.37,0.51189,0.97925,1.88882,0.38605,0.69412,0.47553,0.42091,0.44805,5.32504,1.86808,0.0007328,0.0007328,0.0007328
66,1674.33,0.53534,0.94916,1.88139,0.38758,0.83293,0.48982,0.43407,0.46249,4.78043,1.85901,0.000713,0.000713,0.000713
67,1699.81,0.53042,0.98969,1.85022,0.37412,0.88599,0.48637,0.43062,0.46568,6.78569,1.86716,0.0006932,0.0006932,0.0006932
68,1726.2,0.50522,0.89394,1.89347,0.37042,0.93886,0.48494,0.4327,0.4421,3.92822,1.85016,0.0006734,0.0006734,0.0006734
69,1753.45,0.51612,0.89974,1.86582,0.37898,0.86963,0.48339,0.42725,0.44352,5.75281,1.86531,0.0006536,0.0006536,0.0006536
70,1779.37,0.50044,0.80248,1.88501,0.37749,0.87017,0.48358,0.42945,0.4302,5.51465,1.84296,0.0006338,0.0006338,0.0006338
