epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8161,4.9514,7.06002,4.18833,0,0,0,0,4.54937,4.66466,4.15853,3.335e-05,3.335e-05,3.335e-05
2,33.7776,4.25356,5.57862,4.17284,0,0,0,0,4.55023,4.65751,4.15752,7.19173e-05,7.19173e-05,7.19173e-05
3,37.3363,4.493,5.41498,4.13794,0,0,0,0,4.55454,4.64282,4.154,0.0001089,0.0001089,0.0001089
4,41.36,4.55903,6.03532,4.0774,0,0,0,0,4.55976,4.62058,4.14898,0.000144297,0.000144297,0.000144297
5,58.1181,4.57099,5.41921,4.06252,0,0,0,0,4.57271,4.59198,4.14077,0.00017811,0.00017811,0.00017811
6,60.6987,4.11647,4.76654,3.95548,5e-05,0.01299,3e-05,0,4.58087,4.55667,4.13044,0.000210338,0.000210338,0.000210338
7,62.9111,3.82445,4.1353,3.79813,5e-05,0.01299,3e-05,0,4.58594,4.54836,4.12199,0.000240982,0.000240982,0.000240982
8,65.1719,3.63479,4.14388,3.70785,5e-05,0.01299,3e-05,0,4.59652,4.54348,4.11183,0.00027004,0.00027004,0.00027004
9,72.7855,3.63069,4.14813,3.58242,5e-05,0.01299,3e-05,0,4.61737,4.54238,4.09293,0.000297514,0.000297514,0.000297514
10,84.8654,3.20913,4.08786,3.45543,5e-05,0.01299,3e-05,0,4.58457,4.60202,4.1177,0.000323403,0.000323403,0.000323403
11,87.0889,3.38788,3.70521,3.36009,5e-05,0.01299,3e-05,0,4.5481,4.63371,4.14468,0.000347707,0.000347707,0.000347707
12,89.4601,3.05417,3.36879,3.16244,5e-05,0.01299,3e-05,0,4.52297,4.67011,4.16534,0.000370426,0.000370426,0.000370426
13,96.04,2.91282,3.53766,3.23644,5e-05,0.01299,3e-05,0,4.43215,4.74884,4.19461,0.000391561,0.000391561,0.000391561
14,104.172,3.18452,3.38105,3.11276,5e-05,0.01299,3e-05,0,4.43762,4.76593,4.16511,0.000411111,0.000411111,0.000411111
15,106.566,2.72225,3.18709,2.95511,5e-05,0.01299,3e-05,0,4.46438,4.75238,4.12782,0.000429076,0.000429076,0.000429076
16,108.864,2.74715,2.9907,2.85234,5e-05,0.01299,3e-05,0,4.52572,4.82793,4.05469,0.000445456,0.000445456,0.000445456
17,117.982,2.51868,2.84923,2.79876,5e-05,0.01299,3e-05,0,4.54656,4.88436,4.01477,0.000455694,0.000455694,0.000455694
18,129.069,2.61973,2.92389,2.7591,6e-05,0.01299,4e-05,0,4.59025,4.69706,3.91714,0.000442488,0.000442488,0.000442488
19,135.726,2.47527,2.89772,2.60613,4e-05,0.00909,0.0001,4e-05,4.58162,4.68604,3.90705,0.000429281,0.000429281,0.000429281
20,147.184,2.70622,3.01903,2.76155,0.0077,0.03636,0.00922,0.00298,4.56362,4.40469,3.86977,0.000416075,0.000416075,0.000416075
21,149.352,2.49748,2.44136,2.52107,0.00749,0.06364,0.01027,0.00425,4.49072,4.36884,3.77607,0.000402868,0.000402868,0.000402868
22,151.501,2.52996,2.60119,2.56395,0.55789,0.0425,0.05079,0.02971,4.287,4.00841,3.57839,0.000389661,0.000389661,0.000389661
23,161.926,2.51,2.51073,2.51406,0.6441,0.04565,0.07556,0.04111,4.3252,3.87063,3.5243,0.000376455,0.000376455,0.000376455
24,164.113,2.43928,2.31724,2.35301,0.50835,0.07916,0.10741,0.05432,4.02034,3.5199,3.28131,0.000363248,0.000363248,0.000363248
25,175.274,2.56287,2.53333,2.39099,0.47157,0.0507,0.12665,0.06721,3.48233,3.20545,2.98953,0.000350042,0.000350042,0.000350042
26,182.458,2.27002,2.69923,2.4579,0.53653,0.11076,0.1992,0.09438,3.1481,2.7318,2.61018,0.000336835,0.000336835,0.000336835
27,192.895,2.53652,2.45471,2.20943,0.42103,0.13954,0.1854,0.08924,3.15286,2.66197,2.54256,0.000323628,0.000323628,0.000323628
28,194.998,2.37006,2.55873,2.1584,0.40272,0.22754,0.21033,0.1048,2.7806,2.4366,2.3549,0.000310422,0.000310422,0.000310422
29,197.177,2.26249,2.16384,2.16031,0.44935,0.24832,0.23217,0.13133,2.65404,2.20213,2.19181,0.000297215,0.000297215,0.000297215
30,199.371,2.2286,2.09607,2.06132,0.56855,0.259,0.28454,0.17981,2.44424,1.94314,2.01415,0.000284009,0.000284009,0.000284009
31,201.539,2.245,2.13518,2.1906,0.47312,0.29088,0.30413,0.18865,2.33792,1.94456,1.97535,0.000270802,0.000270802,0.000270802
32,203.731,2.0452,1.90007,1.9415,0.58128,0.3026,0.30276,0.18024,2.23621,1.90777,1.93625,0.000257595,0.000257595,0.000257595
33,205.757,2.18484,2.08804,1.98145,0.67857,0.32406,0.31018,0.17871,2.25316,1.8694,1.93464,0.000244389,0.000244389,0.000244389
