epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6129,4.37095,5.78394,4.19336,0,0,0,0,4.61941,4.65844,4.15942,6.67e-05,6.67e-05,6.67e-05
2,20.3524,4.52361,5.5066,4.18013,0,0,0,0,4.61879,4.62308,4.15518,0.000138683,0.000138683,0.000138683
3,24.8908,4.41924,5.13097,4.12844,0,0,0,0,4.61973,4.58644,4.14925,0.000209214,0.000209214,0.000209214
4,29.3821,4.34506,4.54721,4.03407,5e-05,0.01299,3e-05,0,4.61967,4.53685,4.1395,0.000278292,0.000278292,0.000278292
5,33.884,4.37591,4.57368,3.91403,5e-05,0.01299,3e-05,0,4.56795,4.63867,4.1572,0.000345917,0.000345917,0.000345917
6,38.433,3.98787,4.7635,3.73025,5e-05,0.01299,3e-05,0,4.55955,4.62007,4.153,0.000412089,0.000412089,0.000412089
7,42.9732,3.47458,4.38824,3.69324,0.00011,0.03117,0.00677,0.002,4.52387,4.65903,4.14037,0.000476809,0.000476809,0.000476809
8,47.4466,3.59764,4.24009,3.5052,8e-05,0.03117,0.00157,0.00071,4.55455,4.62073,4.12436,0.000540076,0.000540076,0.000540076
9,51.7343,3.19648,4.088,3.55959,0.27372,0.02727,0.001,0.00035,4.66572,5.84194,4.22615,0.00060189,0.00060189,0.00060189
10,55.9574,3.34596,3.79133,3.24602,0.00011,0.04545,0.00019,3e-05,4.53707,4.43779,5.29548,0.00060757,0.00060757,0.00060757
11,60.2193,2.95267,4.12155,3.14403,0.00011,0.04545,0.00012,2e-05,4.71492,7.33102,8.47442,0.000600967,0.000600967,0.000600967
12,64.4612,2.8976,3.55168,2.9396,0.7281,0.02208,0.00048,0.00015,4.73945,218.248,7.11797,0.000594364,0.000594364,0.000594364
13,68.5509,2.9346,3.25063,2.80219,0.47814,0.10851,0.00566,0.00141,3.93082,inf,4.53765,0.00058776,0.00058776,0.00058776
14,72.8209,2.94025,3.10002,2.61613,0.39146,0.13802,0.0125,0.00302,3.68629,37.2805,3.23118,0.000581157,0.000581157,0.000581157
15,77.4025,2.82924,2.75539,2.45933,0.33451,0.18734,0.16732,0.06446,2.87452,4.11505,2.69559,0.000574554,0.000574554,0.000574554
16,81.7675,2.8175,2.68723,2.41213,0.28089,0.13875,0.15986,0.07186,3.08906,3.28564,2.62023,0.00056795,0.00056795,0.00056795
17,86.3773,2.73679,2.72247,2.38721,0.54818,0.1326,0.13108,0.05911,3.16598,3.43746,2.72526,0.000561347,0.000561347,0.000561347
18,90.5357,2.5992,2.5783,2.29286,0.5416,0.11958,0.09356,0.03327,3.48076,3.35011,2.75962,0.000554744,0.000554744,0.000554744
19,94.6651,2.6739,2.48532,2.26213,0.47332,0.13977,0.11006,0.0416,3.18882,3.41375,2.67747,0.000548141,0.000548141,0.000548141
20,98.857,2.5764,2.5557,2.1029,0.70694,0.15249,0.19659,0.09777,2.75198,2.52317,2.18373,0.000541537,0.000541537,0.000541537
21,103.354,2.5232,2.6153,2.15102,0.70854,0.16198,0.18498,0.08685,2.76262,2.41338,2.1209,0.000534934,0.000534934,0.000534934
22,107.617,2.41528,2.4363,2.06548,0.41189,0.1958,0.15363,0.08401,2.72024,2.46321,2.15337,0.000528331,0.000528331,0.000528331
23,111.761,2.61467,2.25157,1.97211,0.37171,0.13722,0.14524,0.06893,3.3663,3.07919,2.27941,0.000521727,0.000521727,0.000521727
24,116.044,2.51245,2.26841,1.95925,0.47176,0.13392,0.16087,0.08517,3.19861,2.8588,2.14275,0.000515124,0.000515124,0.000515124
25,120.234,2.45201,2.18454,1.87217,0.5814,0.18959,0.18337,0.1023,2.72727,2.11998,1.84053,0.000508521,0.000508521,0.000508521
26,124.718,2.52548,2.29081,1.79663,0.49355,0.18999,0.19542,0.1022,2.86212,2.14594,1.82139,0.000501917,0.000501917,0.000501917
27,129.134,2.53575,1.98449,1.77083,0.40939,0.21387,0.21605,0.12135,2.51672,2.09467,1.7308,0.000495314,0.000495314,0.000495314
28,133.617,2.358,2.09491,1.77284,0.56481,0.15512,0.17948,0.10635,2.66731,2.05351,1.68421,0.000488711,0.000488711,0.000488711
29,137.966,2.32909,2.00692,1.68301,0.4513,0.18669,0.17211,0.10696,2.79401,2.0394,1.65152,0.000482108,0.000482108,0.000482108
30,142.17,2.45998,2.06727,1.72963,0.32967,0.27546,0.22595,0.13864,2.73685,1.94002,1.60646,0.000475504,0.000475504,0.000475504
