epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.54803,4.90067,6.12714,4.24859,2e-05,0.01299,2e-05,1e-05,5.02529,4.6529,4.17035,0.000216911,0.000216911,0.000216911
2,16.3969,4.44202,5.60054,4.18015,6e-05,0.03117,9e-05,2e-05,5.01321,4.67102,4.19786,0.000434895,0.000434895,0.000434895
3,27.0551,4.7709,5.8632,4.04758,5e-05,0.01818,3e-05,1e-05,5.00087,4.59214,4.24309,0.000648478,0.000648478,0.000648478
4,37.406,4.67506,5.0035,3.98073,5e-05,0.01818,3e-05,1e-05,4.82554,4.82612,4.38458,0.00064719,0.00064719,0.00064719
5,53.9758,4.51206,4.85351,3.91268,0.00107,0.00946,0.00038,0.00012,4.649,inf,9.63663,0.000640587,0.000640587,0.000640587
6,60.9915,4.33985,6.368,3.85482,0.18203,0.00026,8e-05,1e-05,5.15294,inf,13.2218,0.000633983,0.000633983,0.000633983
7,68.6345,4.3733,5.17911,3.67689,0.54641,0.00019,0.00044,0.0001,5.07722,inf,12.8727,0.00062738,0.00062738,0.00062738
8,79.1753,4.3111,4.584,3.69815,0.00082,0.02335,0.00091,0.0004,4.91825,23.9766,11.208,0.000620777,0.000620777,0.000620777
9,86.3809,4.10715,4.69345,3.59444,0.00428,0.01313,0.00341,0.0013,4.74359,122.475,7.15799,0.000614174,0.000614174,0.000614174
10,98.3985,4.2315,4.24995,3.58852,0.1689,0.04013,0.01391,0.00384,4.62751,76.7115,5.5869,0.00060757,0.00060757,0.00060757
11,105.494,3.89035,4.01992,3.39209,0.20864,0.02707,0.01043,0.00309,4.35931,6.86726,3.80177,0.000600967,0.000600967,0.000600967
12,112.549,3.78443,4.06266,3.42322,0.10461,0.0454,0.00638,0.0021,4.19201,6.43596,3.8436,0.000594364,0.000594364,0.000594364
13,118.837,3.56958,3.79061,3.2793,0.11855,0.08065,0.01672,0.00445,4.1096,3.53824,3.12879,0.00058776,0.00058776,0.00058776
14,125.868,3.74597,3.68179,3.10054,0.21439,0.02422,0.01825,0.0045,3.99587,3.92807,3.2772,0.000581157,0.000581157,0.000581157
15,133.595,3.67694,3.44891,3.13245,0.11326,0.0444,0.01358,0.0034,3.9889,3.03535,2.91291,0.000574554,0.000574554,0.000574554
16,139.991,3.6472,3.37993,2.95661,0.114,0.12403,0.01928,0.00438,3.87919,3.07304,3.07607,0.00056795,0.00056795,0.00056795
17,151.896,3.50288,3.2043,2.88146,0.17571,0.09219,0.05288,0.01589,3.74526,7.32132,2.99818,0.000561347,0.000561347,0.000561347
18,162.769,3.6661,3.07051,2.73363,0.06423,0.08232,0.0485,0.01301,3.57544,4.14741,2.81331,0.000554744,0.000554744,0.000554744
19,169.588,3.41402,3.03309,2.6811,0.05181,0.11921,0.05655,0.0164,3.51873,2.79769,2.48666,0.000548141,0.000548141,0.000548141
20,177.096,3.38147,2.91582,2.63558,0.03374,0.23554,0.0539,0.01762,3.4313,2.52319,2.42614,0.000541537,0.000541537,0.000541537
21,184.471,3.30987,2.8165,2.50767,0.03578,0.166,0.05072,0.01761,3.48237,2.42574,2.32309,0.000534934,0.000534934,0.000534934
22,191.627,3.36159,2.75216,2.5413,0.05005,0.2477,0.0661,0.02323,3.38941,2.48666,2.32441,0.000528331,0.000528331,0.000528331
23,198.491,3.08656,2.68229,2.42482,0.09404,0.31594,0.10201,0.03547,3.17906,2.72968,2.28753,0.000521727,0.000521727,0.000521727
24,209.327,3.06151,2.71927,2.31939,0.31299,0.16514,0.12473,0.0437,3.08223,2.27227,2.15149,0.000515124,0.000515124,0.000515124
25,216.843,2.97398,2.48415,2.24478,0.32906,0.12476,0.12246,0.04531,3.03639,2.26142,2.12295,0.000508521,0.000508521,0.000508521
26,224.122,2.91318,2.56043,2.26646,0.34397,0.17193,0.16067,0.07317,2.81982,2.27602,2.07154,0.000501917,0.000501917,0.000501917
27,231.898,2.82075,2.35799,2.18411,0.53146,0.22456,0.20932,0.11835,2.80051,2.25441,2.00039,0.000495314,0.000495314,0.000495314
28,239.04,2.8912,2.2993,2.14481,0.48508,0.21419,0.18691,0.10965,2.75219,2.44579,2.00565,0.000488711,0.000488711,0.000488711
29,245.679,2.75388,2.32684,2.07616,0.40161,0.25772,0.2127,0.11552,2.63745,1.99559,1.9613,0.000482108,0.000482108,0.000482108
30,256.334,2.66443,2.17123,2.00301,0.54298,0.23093,0.22163,0.10879,2.59812,1.95437,1.96578,0.000475504,0.000475504,0.000475504
31,266.125,2.54782,2.12821,1.91319,0.40423,0.22284,0.14357,0.07317,2.52645,1.92457,1.86982,0.000468901,0.000468901,0.000468901
32,272.557,2.64782,2.19111,1.99602,0.38848,0.17058,0.11949,0.0573,2.66803,1.89348,1.79871,0.000462298,0.000462298,0.000462298
33,280.196,2.65175,2.07502,1.91366,0.29588,0.15981,0.11585,0.05431,2.6468,1.95241,1.76793,0.000455694,0.000455694,0.000455694
34,288.298,2.55393,2.06957,1.88497,0.16198,0.40178,0.22664,0.11355,2.57867,1.9563,1.71601,0.000449091,0.000449091,0.000449091
35,295.575,2.63713,2.11822,1.93485,0.17162,0.41041,0.28211,0.16537,2.65737,1.92616,1.7274,0.000442488,0.000442488,0.000442488
36,303.054,2.67668,2.15891,1.89434,0.1689,0.42079,0.28123,0.1643,2.67039,1.91911,1.71808,0.000435884,0.000435884,0.000435884
37,310.405,2.4971,1.97976,1.81206,0.14961,0.5224,0.29344,0.17741,2.42669,1.84891,1.64853,0.000429281,0.000429281,0.000429281
38,318.634,2.38602,1.7952,1.74563,0.48166,0.2981,0.23534,0.12907,2.40438,1.72074,1.63342,0.000422678,0.000422678,0.000422678
39,330.502,2.46475,2.01161,1.75829,0.52342,0.2708,0.26989,0.1502,2.3542,1.68419,1.64876,0.000416075,0.000416075,0.000416075
40,336.841,2.61936,1.88085,1.70708,0.54318,0.28232,0.28362,0.17217,2.34376,1.7058,1.64643,0.000409471,0.000409471,0.000409471
41,351.067,2.50814,1.81451,1.70754,0.40815,0.32253,0.25921,0.13626,2.36664,1.61591,1.53433,0.000402868,0.000402868,0.000402868
42,358.554,2.53875,1.77961,1.68051,0.42705,0.36575,0.27048,0.14943,2.32381,1.60644,1.49943,0.000396265,0.000396265,0.000396265
43,365.54,2.35658,1.74169,1.63296,0.31864,0.43878,0.34045,0.22162,2.2311,1.57216,1.51158,0.000389661,0.000389661,0.000389661
44,373.221,2.40688,1.72987,1.63481,0.3294,0.45313,0.34648,0.2333,2.22027,1.59323,1.52252,0.000383058,0.000383058,0.000383058
45,383.888,2.33751,1.65964,1.58267,0.21541,0.38573,0.32857,0.19227,2.23841,1.61986,1.50799,0.000376455,0.000376455,0.000376455
46,390.955,2.26495,1.66172,1.55534,0.19351,0.39213,0.31901,0.19152,2.13145,1.60342,1.48661,0.000369851,0.000369851,0.000369851
47,397.717,2.32915,1.7745,1.51743,0.22602,0.50298,0.34789,0.21503,2.18651,1.55716,1.46218,0.000363248,0.000363248,0.000363248
48,404.932,2.23085,1.71806,1.57349,0.34448,0.28677,0.28606,0.17432,2.13069,1.52881,1.43288,0.000356645,0.000356645,0.000356645
49,415.245,2.2389,1.70731,1.55797,0.46128,0.42932,0.35179,0.21955,2.13128,1.52872,1.49418,0.000350042,0.000350042,0.000350042
50,423.199,2.21308,1.54785,1.52582,0.42747,0.47634,0.35391,0.22744,2.08404,1.44576,1.41922,0.000343438,0.000343438,0.000343438
51,430.081,2.19221,1.59481,1.4861,0.5016,0.28651,0.28581,0.16321,2.06484,1.43615,1.38008,0.000336835,0.000336835,0.000336835
52,439.87,2.09429,1.54074,1.48862,0.41885,0.30816,0.29578,0.1826,2.07822,1.46218,1.39603,0.000330232,0.000330232,0.000330232
53,450.85,2.2042,1.52564,1.46689,0.42741,0.32467,0.2938,0.18972,2.01844,1.42654,1.37839,0.000323628,0.000323628,0.000323628
54,461.394,2.18438,1.53156,1.45612,0.27642,0.40839,0.36139,0.24672,2.07559,1.4737,1.41023,0.000317025,0.000317025,0.000317025
55,475.723,2.08382,1.4426,1.47075,0.29782,0.47983,0.34477,0.23211,2.00983,1.42071,1.40027,0.000310422,0.000310422,0.000310422
56,483.348,2.06183,1.48417,1.47584,0.41527,0.3197,0.27371,0.1726,1.99539,1.37153,1.33771,0.000303818,0.000303818,0.000303818
57,499.528,2.12109,1.45482,1.43067,0.24323,0.40228,0.28913,0.18817,1.95985,1.36766,1.32556,0.000297215,0.000297215,0.000297215
