epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.50145,4.90067,6.12714,4.24859,2e-05,0.01299,2e-05,1e-05,5.02529,4.6529,4.17035,0.000216911,0.000216911,0.000216911
2,16.3743,4.43638,5.59961,4.17867,6e-05,0.03117,9e-05,2e-05,5.01323,4.67128,4.19758,0.000437794,0.000437794,0.000437794
3,26.7281,4.78208,5.84722,4.05822,4e-05,0.01818,3e-05,1e-05,5.00514,4.59752,4.23809,0.000657211,0.000657211,0.000657211
4,36.5902,4.67208,4.9982,3.98121,4e-05,0.01818,3e-05,1e-05,4.81505,5.01434,4.44688,0.000660397,0.000660397,0.000660397
5,51.8271,4.54327,4.88521,3.91169,0.27454,0.00177,0.00046,0.00012,4.53741,inf,18.7481,0.000658196,0.000658196,0.000658196
6,59.1067,4.34836,6.36245,3.84765,0.45491,0.00042,0.00017,4e-05,4.83301,inf,11.7749,0.000655994,0.000655994,0.000655994
7,66.2746,4.41143,5.19618,3.65293,0.00044,0.04032,0.00029,9e-05,5.32357,71.6123,6.02353,0.000653793,0.000653793,0.000653793
8,77.165,4.29586,4.64215,3.68828,0.00021,0.05455,0.00016,4e-05,5.22275,inf,23.7112,0.000651592,0.000651592,0.000651592
9,85.1567,3.94625,4.72244,3.59007,0.45474,0.03636,0.00013,4e-05,4.9926,inf,12.8406,0.000649391,0.000649391,0.000649391
10,97.044,4.21625,4.17945,3.54318,0.27281,0.05455,7e-05,1e-05,5.04792,inf,10.0443,0.00064719,0.00064719,0.00064719
11,104.141,3.83118,3.99174,3.37767,0.00699,0.04444,0.00438,0.00136,4.56228,inf,6.57867,0.000644989,0.000644989,0.000644989
12,111.69,3.76273,3.90288,3.32627,0.01714,0.0464,0.01306,0.00283,4.51721,inf,4.97549,0.000642788,0.000642788,0.000642788
13,118.565,3.71209,3.75118,3.23123,0.20939,0.04368,0.0179,0.00404,4.13137,inf,4.56034,0.000640587,0.000640587,0.000640587
14,125.922,3.81302,3.63836,3.05273,0.12317,0.05492,0.02108,0.00529,4.14503,inf,4.42724,0.000638386,0.000638386,0.000638386
15,133.595,3.68894,3.33321,3.09102,0.01715,0.17835,0.03286,0.00944,3.87498,5.04704,3.59805,0.000636185,0.000636185,0.000636185
16,140.308,3.5113,3.28835,2.91972,0.03262,0.30645,0.1341,0.0549,3.39073,7.53145,3.22884,0.000633983,0.000633983,0.000633983
17,152.085,3.60672,3.16818,2.8176,0.10728,0.23287,0.10298,0.02238,3.87052,12.0753,2.76304,0.000631782,0.000631782,0.000631782
18,162.795,3.76827,3.00132,2.67136,0.07628,0.25856,0.12209,0.0584,3.65957,20.8916,2.69409,0.000629581,0.000629581,0.000629581
19,169.851,3.30531,2.97784,2.60677,0.42695,0.12511,0.1434,0.06778,3.49635,15.7007,2.60848,0.00062738,0.00062738,0.00062738
20,177.452,3.31349,2.82122,2.53931,0.27514,0.15984,0.14968,0.05955,3.44144,2.7743,2.48937,0.000625179,0.000625179,0.000625179
21,184.687,3.19767,2.76971,2.41501,0.24198,0.12888,0.13451,0.07071,3.28644,2.51484,2.45131,0.000622978,0.000622978,0.000622978
22,192.13,3.15864,2.69593,2.47171,0.37052,0.185,0.14519,0.07241,3.19389,2.44493,2.33499,0.000620777,0.000620777,0.000620777
23,199.022,3.05711,2.59393,2.34299,0.41955,0.21362,0.1365,0.05545,3.21729,2.57292,2.24344,0.000618576,0.000618576,0.000618576
24,205.924,3.1408,2.60991,2.22968,0.35139,0.20742,0.16048,0.07892,3.01554,2.45801,2.05087,0.000616375,0.000616375,0.000616375
25,213.503,3.00818,2.43533,2.15342,0.55283,0.18175,0.17815,0.07392,3.04271,2.21531,1.9838,0.000614174,0.000614174,0.000614174
26,220.604,2.9534,2.4279,2.17832,0.44937,0.30088,0.18786,0.08259,2.8634,2.08449,1.94067,0.000611972,0.000611972,0.000611972
27,228.371,2.80539,2.26355,2.0999,0.58038,0.13083,0.17878,0.09372,2.71901,2.3819,2.03968,0.000609771,0.000609771,0.000609771
28,235.537,2.81017,2.20136,2.04389,0.42272,0.22012,0.20896,0.10825,2.74701,3.2215,1.98521,0.00060757,0.00060757,0.00060757
29,242.435,2.74504,2.26661,1.97834,0.51086,0.27403,0.23585,0.11726,2.67673,2.63855,1.93338,0.000605369,0.000605369,0.000605369
30,253.288,2.65719,2.09324,1.90533,0.48443,0.2632,0.2183,0.11263,2.5975,2.04163,1.8439,0.000603168,0.000603168,0.000603168
31,263.106,2.55902,2.07975,1.83234,0.16286,0.41669,0.24602,0.11799,2.50628,2.52488,1.84893,0.000600967,0.000600967,0.000600967
32,269.86,2.64356,2.13203,1.92372,0.43913,0.29232,0.2212,0.09481,2.69336,2.70951,1.8019,0.000598766,0.000598766,0.000598766
33,277.578,2.68749,1.99537,1.84279,0.15679,0.45839,0.28165,0.1477,2.50601,2.48529,1.72474,0.000596565,0.000596565,0.000596565
34,285.054,2.47985,1.99506,1.79697,0.20556,0.31515,0.2368,0.12127,2.40361,1.82173,1.61194,0.000594364,0.000594364,0.000594364
35,292.332,2.61561,2.05014,1.85538,0.20456,0.23151,0.12468,0.05736,2.75736,1.85845,1.66577,0.000592163,0.000592163,0.000592163
36,299.622,2.67405,2.08363,1.81298,0.10386,0.454,0.2146,0.12268,2.65917,1.87708,1.64374,0.000589961,0.000589961,0.000589961
37,306.848,2.53103,1.94963,1.73056,0.13566,0.42514,0.23945,0.12573,2.3876,1.81933,1.56353,0.00058776,0.00058776,0.00058776
38,314.736,2.38271,1.73356,1.66903,0.39785,0.35601,0.3108,0.15847,2.37064,1.69699,1.54172,0.000585559,0.000585559,0.000585559
39,326.642,2.50323,1.95977,1.68464,0.50365,0.29231,0.26422,0.14274,2.3466,1.65481,1.53729,0.000583358,0.000583358,0.000583358
40,332.983,2.61268,1.82432,1.63255,0.42581,0.34803,0.27975,0.14671,2.39987,1.72943,1.58096,0.000581157,0.000581157,0.000581157
41,344.472,2.51106,1.76681,1.62304,0.36162,0.24867,0.26357,0.1341,2.32609,1.59967,1.46241,0.000578956,0.000578956,0.000578956
42,351.887,2.47895,1.70028,1.58177,0.52888,0.33143,0.31988,0.17423,2.29672,1.54717,1.44037,0.000576755,0.000576755,0.000576755
43,358.991,2.33877,1.69298,1.54715,0.21921,0.5125,0.36618,0.21387,2.19926,1.56882,1.44119,0.000574554,0.000574554,0.000574554
44,366.632,2.37252,1.7121,1.55091,0.19703,0.51419,0.37081,0.22092,2.21586,1.56359,1.44299,0.000572353,0.000572353,0.000572353
45,377.136,2.29981,1.60287,1.51449,0.24739,0.32323,0.27805,0.1764,2.06779,1.4959,1.40125,0.000570152,0.000570152,0.000570152
46,384.136,2.24695,1.61342,1.50173,0.28471,0.43645,0.32386,0.21064,2.1033,1.49415,1.40862,0.00056795,0.00056795,0.00056795
47,390.774,2.3545,1.71922,1.46209,0.35439,0.39881,0.27606,0.17267,2.23082,1.57155,1.42686,0.000565749,0.000565749,0.000565749
48,397.788,2.2675,1.70547,1.51355,0.33813,0.38376,0.27802,0.18836,2.32052,1.64361,1.43516,0.000563548,0.000563548,0.000563548
49,408.025,2.27747,1.66663,1.48309,0.28721,0.45441,0.34421,0.22659,2.12638,1.70021,1.34149,0.000561347,0.000561347,0.000561347
50,416.12,2.22113,1.53827,1.45368,0.3202,0.36934,0.27644,0.17029,2.04937,1.57723,1.32135,0.000559146,0.000559146,0.000559146
51,422.8,2.19124,1.54459,1.43307,0.33093,0.35541,0.29985,0.18415,2.00404,1.47398,1.33416,0.000556945,0.000556945,0.000556945
52,432.303,2.10715,1.5221,1.43202,0.62405,0.26455,0.37755,0.25535,2.00977,1.49584,1.38437,0.000554744,0.000554744,0.000554744
53,443.184,2.16492,1.50168,1.39584,0.37444,0.44608,0.36429,0.229,1.99862,1.50509,1.35885,0.000552543,0.000552543,0.000552543
54,453.519,2.2193,1.52118,1.40185,0.45458,0.32393,0.2257,0.13437,2.00391,1.42134,1.30167,0.000550342,0.000550342,0.000550342
