epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.18883,4.6898,6.02291,4.22878,0,0,0,0,4.1954,4.56893,4.16038,0.0001334,0.0001334,0.0001334
2,13.8995,4.63567,5.66156,4.15329,5e-05,0.01299,4e-05,0,4.21348,4.52777,4.15378,0.000270763,0.000270763,0.000270763
3,17.4899,4.44668,5.32367,4.16091,4e-05,0.01299,3e-05,0,4.22827,4.47848,4.14619,0.000405352,0.000405352,0.000405352
4,21.4351,4.57779,5.05285,4.07423,4e-05,0.01299,3e-05,0,4.23654,4.44894,4.14303,0.000537168,0.000537168,0.000537168
5,24.721,4.44844,6.25325,4.0015,5e-05,0.01299,3e-05,0,3.98793,4.60953,4.18749,0.000640587,0.000640587,0.000640587
6,28.6123,4.42543,7.12182,4.01292,5e-05,0.01299,3e-05,0,3.9731,4.58377,4.18745,0.000633983,0.000633983,0.000633983
7,32.0498,4.28742,5.19735,4.01404,0.00027,0.02992,0.00029,9e-05,3.68218,4.108,4.03544,0.00062738,0.00062738,0.00062738
8,35.3778,4.38818,4.79103,3.88887,0.00112,0.07724,0.001,0.00037,3.97458,inf,5.71472,0.000620777,0.000620777,0.000620777
9,39.015,4.18067,4.81509,3.83686,0.00056,0.01906,0.0003,5e-05,5.45747,inf,22.9502,0.000614174,0.000614174,0.000614174
10,42.4643,4.29342,5.36741,3.72939,0.37911,0.00909,0.00237,0.0011,5.24489,inf,27.1145,0.00060757,0.00060757,0.00060757
11,46.2372,3.54309,4.34687,3.48417,0.57022,0.01906,0.00079,0.00011,4.43132,544.873,13.2471,0.000600967,0.000600967,0.000600967
12,49.8471,3.48137,4.41837,3.40594,6e-05,0.00088,3e-05,0,4.49112,147.67,11.5531,0.000594364,0.000594364,0.000594364
13,53.2841,3.3208,4.03093,3.298,0.18927,0.02171,0.00177,0.00025,4.1708,5.30303,6.08951,0.00058776,0.00058776,0.00058776
14,56.3471,3.24118,3.67561,3.15533,0.30145,0.07158,0.02281,0.00798,3.62294,10.5471,7.04381,0.000581157,0.000581157,0.000581157
15,59.8856,3.24953,3.47949,3.1338,0.3189,0.06046,0.026,0.00871,3.79858,53.2974,5.5716,0.000574554,0.000574554,0.000574554
16,63.9771,3.25497,3.56314,3.0719,0.1075,0.05011,0.04051,0.01808,4.44347,inf,10.424,0.00056795,0.00056795,0.00056795
17,67.3184,2.78706,3.21724,2.96514,0.05132,0.08926,0.05041,0.02337,4.09542,inf,8.76323,0.000561347,0.000561347,0.000561347
18,70.7579,2.89911,3.1761,2.91644,0.11718,0.06094,0.04878,0.02072,3.49837,inf,4.14801,0.000554744,0.000554744,0.000554744
19,73.9276,2.64598,2.97468,2.81979,0.0644,0.09523,0.05792,0.0311,2.99564,117.889,3.50608,0.000548141,0.000548141,0.000548141
20,77.5729,2.67539,3.0985,2.73809,0.17348,0.08608,0.05805,0.03016,2.84562,81.3998,2.90657,0.000541537,0.000541537,0.000541537
21,80.7432,2.59999,2.81372,2.5787,0.17025,0.10157,0.06421,0.02969,2.76958,14.6397,2.68589,0.000534934,0.000534934,0.000534934
22,84.6943,2.75675,3.11419,2.66093,0.16315,0.15533,0.06987,0.03323,2.77562,6.88643,2.615,0.000528331,0.000528331,0.000528331
23,87.965,2.80631,2.84336,2.50628,0.06748,0.14199,0.06848,0.03423,2.78738,7.13098,2.59071,0.000521727,0.000521727,0.000521727
24,91.7361,2.67747,2.81628,2.46927,0.37497,0.11896,0.08855,0.05294,2.44426,2.91595,2.25991,0.000515124,0.000515124,0.000515124
25,95.4638,2.58578,2.77556,2.49856,0.37067,0.12104,0.07122,0.03762,2.52522,2.67899,2.1976,0.000508521,0.000508521,0.000508521
26,98.6976,2.54905,2.56198,2.29028,0.19778,0.10532,0.09148,0.04992,2.39497,2.6808,2.11406,0.000501917,0.000501917,0.000501917
27,102.238,2.35189,2.53543,2.24287,0.35858,0.13443,0.07507,0.0466,2.24049,2.58127,2.04518,0.000495314,0.000495314,0.000495314
28,105.786,2.40569,2.53321,2.21605,0.45075,0.12951,0.1278,0.08145,2.37766,2.46401,1.99957,0.000488711,0.000488711,0.000488711
29,109.47,2.50286,2.59904,2.16564,0.44529,0.16596,0.15302,0.09897,2.29565,2.42698,1.95667,0.000482108,0.000482108,0.000482108
30,112.892,2.20182,2.49088,2.03811,0.54672,0.12899,0.14602,0.07872,2.39564,2.3782,1.94008,0.000475504,0.000475504,0.000475504
31,115.75,2.34513,2.39192,1.96223,0.43884,0.12154,0.13274,0.09013,2.42225,2.39374,1.91859,0.000468901,0.000468901,0.000468901
32,118.78,2.39911,2.47858,2.05616,0.34296,0.14508,0.14123,0.09692,2.46273,2.37652,1.89621,0.000462298,0.000462298,0.000462298
33,122.121,2.29756,2.32785,1.94486,0.37462,0.13521,0.15968,0.10856,2.1781,2.27751,1.81199,0.000455694,0.000455694,0.000455694
34,125.728,2.26161,2.30172,1.88387,0.36202,0.22521,0.23348,0.16385,2.14679,2.23646,1.74457,0.000449091,0.000449091,0.000449091
35,129.276,2.46276,2.25671,1.89887,0.36699,0.20971,0.24537,0.16379,2.20551,2.17872,1.72645,0.000442488,0.000442488,0.000442488
36,133.076,2.37447,2.1582,1.87312,0.35983,0.24412,0.25245,0.16912,2.21659,2.13026,1.72843,0.000435884,0.000435884,0.000435884
37,136.712,2.35269,2.22861,1.84032,0.42141,0.25076,0.2611,0.16419,2.12817,2.03007,1.70321,0.000429281,0.000429281,0.000429281
38,139.942,2.23046,2.08666,1.76347,0.52477,0.24893,0.25831,0.1703,2.12202,2.00279,1.71183,0.000422678,0.000422678,0.000422678
39,143.45,2.19719,2.1159,1.82175,0.46179,0.22388,0.25428,0.17621,2.12884,2.05897,1.71713,0.000416075,0.000416075,0.000416075
40,147.236,2.29091,2.09478,1.7733,0.36152,0.22901,0.27992,0.19894,2.10678,2.0153,1.7032,0.000409471,0.000409471,0.000409471
41,151.043,2.2665,2.11232,1.78448,0.34349,0.29998,0.29537,0.18699,2.21335,2.06077,1.69723,0.000402868,0.000402868,0.000402868
42,154.23,2.27312,2.11353,1.73865,0.34909,0.30255,0.28341,0.19447,2.05945,2.03088,1.61918,0.000396265,0.000396265,0.000396265
43,157.5,2.24349,2.04518,1.78292,0.37775,0.25897,0.28037,0.18689,2.31161,2.0964,1.57671,0.000389661,0.000389661,0.000389661
44,160.754,2.13946,2.01047,1.68093,0.27535,0.30212,0.27319,0.16912,2.20404,2.00849,1.53799,0.000383058,0.000383058,0.000383058
45,164.643,2.25921,1.92118,1.69612,0.47909,0.2966,0.28625,0.18807,2.1199,1.93789,1.55699,0.000376455,0.000376455,0.000376455
46,167.704,2.14178,2.00245,1.61494,0.40892,0.31438,0.29488,0.19969,2.01,2.0511,1.50695,0.000369851,0.000369851,0.000369851
47,171.202,2.17833,1.98318,1.606,0.39334,0.3012,0.28314,0.18508,2.05553,2.11811,1.49418,0.000363248,0.000363248,0.000363248
48,174.496,2.13759,1.92259,1.64298,0.47951,0.2618,0.25489,0.16809,1.96966,2.05233,1.47966,0.000356645,0.000356645,0.000356645
49,177.639,2.09878,1.87893,1.5567,0.35022,0.31865,0.27146,0.17337,1.99828,1.979,1.49961,0.000350042,0.000350042,0.000350042
50,181.347,2.18139,1.85823,1.66381,0.37458,0.31205,0.3044,0.20548,1.9838,1.79824,1.46798,0.000343438,0.000343438,0.000343438
51,184.741,2.00409,1.83721,1.5703,0.43296,0.2927,0.30493,0.20115,2.15145,1.89395,1.46509,0.000336835,0.000336835,0.000336835
52,188.178,2.18573,1.77236,1.55016,0.4071,0.34006,0.29922,0.20274,2.11573,1.96447,1.44342,0.000330232,0.000330232,0.000330232
53,191.428,2.12532,1.78726,1.51327,0.51216,0.26999,0.31362,0.20469,2.04416,1.77062,1.41833,0.000323628,0.000323628,0.000323628
